D?ugo?? przed?u?e?,Cz?stotliwo?c podwójnego skoku,Rozpi?to?c pi?,Ilo?? pi?,D?ugo?? kolców,Cz?stotliwo?c pu?apek,D?ugo?? ?lizgania,Entry Rank,Highest Rank,Final Rank,Score,
0.1059521,0.1116706,0.126177,0.06665308,0.2935839,0.8369257,0,0.2243591,0.2243591,0.2201375,0,114
0.1059521,0.09168629,0.1059573,0.04297252,0.2935839,0.8369257,0,0.2201375,0.2201375,0.2110111,0,115
0.1247775,0.107267,0.1260083,0.06485385,0.2827797,0.8411634,0.01965734,0.2110111,0.2274264,0.2237867,4,116
0.1853456,0.1674903,0.1862278,0.1303325,0.309107,0.8597769,0.07806692,0.2237867,0.2774679,0.2737638,13,117
0.1955111,0.1593805,0.1748411,0.1164665,0.3176912,0.8615264,0.09026267,0.2737638,0.2844286,0.2736685,3,118
0.2109082,0.1765577,0.166886,0.1086381,0.3329374,0.8666021,0.1059048,0.2736685,0.288978,0.2812049,4,119
0.2109082,0.1765577,0.1379162,0.08224008,0.3329374,0.8666021,0.1059048,0.2812049,0.2812049,0.2732952,0,120
0.221532,0.1856851,0.1287834,0.0730236,0.3428725,0.8696578,0.1171948,0.2732952,0.2839167,0.2769642,3,121
0.1923333,0.1856851,0.1287834,0.0730236,0.3428725,0.8696578,0.0856076,0.2769642,0.2769642,0.2682805,0,122
0.1910499,0.2153066,0.1608826,0.1082832,0.3678419,0.8781705,0.08173396,0.2682805,0.2948097,0.2861812,7,123
0.1586494,0.2153066,0.1608826,0.1082832,0.3678419,0.8781705,0.05208375,0.2861812,0.2861812,0.2773168,0,124
0.1586494,0.2046911,0.1328503,0.08323282,0.3678419,0.8781705,0.05208375,0.2773168,0.2773168,0.2682171,0,125
0.1326056,0.2074948,0.137579,0.08824165,0.3702267,0.8785922,0.02825353,0.2682171,0.2715473,0.2632848,1,126
0.1084854,0.2074948,0.137579,0.08824165,0.3702267,0.8785922,0.001629419,0.2632848,0.2632848,0.2560356,0,127
0.1139524,0.1866944,0.115684,0.06921654,0.3751328,0.8801278,0.00661066,0.2560356,0.2606248,0.2496312,1,128
0.1246837,0.170073,0.1020874,0.05618903,0.3836147,0.8841417,0.01640179,0.2496312,0.2583635,0.2481702,2,129
0.1016415,0.170073,0.1020874,0.05618903,0.3836147,0.8841417,0,0.2481702,0.2481702,0.2425353,0,130
0.107186,0.1732093,0.1071137,0.06175765,0.3637291,0.886125,0.005,0.2425353,0.2469614,0.2434458,1,131
0.1135076,0.1749372,0.1390657,0.09389912,0.390727,0.8973337,0.008495537,0.2434458,0.2707871,0.2597094,6,132
0.1189005,0.1590803,0.1190716,0.07434861,0.3961424,0.8992923,0.01339774,0.2597094,0.2648092,0.254319,1,133
0.09628341,0.1590803,0.1190716,0.07434861,0.3961424,0.8992923,0,0.254319,0.254319,0.2491741,0,134
0.1074044,0.1655401,0.1273456,0.08501583,0.375156,0.9032015,0.009942438,0.2491741,0.257643,0.2533723,2,135
0.1074044,0.1655401,0.1095371,0.06097741,0.375156,0.9032015,0.009942438,0.2533723,0.2533723,0.2473941,0,136
0.1182922,0.1740637,0.09898493,0.04879397,0.3837919,0.9057537,0.01965734,0.2473941,0.2559991,0.2499054,2,137
0.1182922,0.1740637,0.09898493,0.04879397,0.3556017,0.9057537,0.01965734,0.2499054,0.2499054,0.2458782,0,138
