platform_length,double_jump_frequency,sawblade_spread,sawblade_density,spike_length,trap_frequency,slide_length,Entry Rank,Highest Rank,Final Rank,Score,
0.6589741,0.1265192,0.1332014,0.1467765,0.3640316,0.6554974,0.4006583,0.3546487,0.3582445,0.355094,1,1.9
0.6607381,0.1301025,0.1382519,0.15122,0.3416401,0.6566293,0.4029183,0.355094,0.3583527,0.3545001,1,1.9
0.6624655,0.1145636,0.1185889,0.1273378,0.3470158,0.6577284,0.4046274,0.3545001,0.358057,0.3474753,1,1.9
0.6641019,0.1182744,0.1236781,0.1319974,0.3274033,0.6587635,0.4063691,0.3474753,0.3507466,0.3472268,1,1.95
0.6691985,0.1103408,0.138054,0.145675,0.34286,0.6620245,0.4110363,0.3472268,0.357182,0.3541699,3,1.95
0.6742893,0.1237021,0.1525798,0.1588938,0.3584591,0.6653299,0.415513,0.3541699,0.3641096,0.3641096,3,2.1
0.6742893,0.1237021,0.1525798,0.1588938,0.3584591,0.6653299,0.415513,0.3641096,0.3641096,0.3641096,0,1.85
0.6742893,0.1237021,0.1525798,0.1588938,0.3351568,0.6653299,0.415513,0.3641096,0.3641096,0.3607807,0,1.65
0.6791041,0.1194831,0.166545,0.1716615,0.3487063,0.6684324,0.4197956,0.3607807,0.3707655,0.3676755,3,1.75
0.6791041,0.1194831,0.166545,0.1716615,0.3245947,0.6684324,0.4197956,0.3676755,0.3676755,0.3642309,0,1.6
0.6838341,0.1325738,0.1817469,0.1840057,0.33838,0.6714923,0.4245398,0.3642309,0.373796,0.373796,3,1.65
0.6838341,0.1325738,0.1817469,0.1840057,0.33838,0.6714923,0.4245398,0.373796,0.373796,0.373796,0,1.55
0.6869454,0.1201527,0.16382,0.1616878,0.3479535,0.673528,0.4279748,0.373796,0.3800754,0.368866,2,1.6
0.6948255,0.1473091,0.1876236,0.1825922,0.3728431,0.6787648,0.4349279,0.368866,0.3855552,0.3855552,5,1.75
0.6948255,0.1253274,0.1548632,0.1527883,0.3728431,0.6787648,0.4349279,0.3855552,0.3855552,0.3734772,0,1.75
0.6964118,0.1079787,0.1589053,0.1571689,0.3778958,0.6798255,0.4361169,0.3734772,0.3764639,0.3734718,1,1.7
0.6964118,0.08819795,0.134767,0.1288294,0.3778958,0.6798255,0.4361169,0.3734718,0.3734718,0.3631492,0,1.65
0.6978986,0.09219627,0.1393113,0.133476,0.3601294,0.6808077,0.4374699,0.3631492,0.366368,0.3630413,1,1.45
0.6978986,0.09219627,0.1393113,0.133476,0.3331629,0.6808077,0.4374699,0.3630413,0.3630413,0.359189,0,1.4
0.6993536,0.09615049,0.1431662,0.1380682,0.3122652,0.6817611,0.4394471,0.359189,0.3622055,0.3586017,1,1.3
0.6993536,0.09615049,0.1216782,0.1108204,0.3122652,0.6817611,0.4394471,0.3586017,0.3586017,0.3516394,0,1.25
0.703703,0.1099932,0.1368361,0.1252226,0.3083417,0.6846662,0.4434928,0.3516394,0.3616967,0.3588937,3,1.35
0.7050988,0.1137532,0.1418723,0.1299058,0.3126789,0.6855931,0.4446411,0.3588937,0.3619348,0.3619348,1,1.35
0.7066369,0.1174727,0.1470798,0.1345492,0.2953019,0.6866372,0.4459488,0.3619348,0.3652133,0.3619466,1,1.35
0.7066369,0.1174727,0.1209943,0.1074302,0.2953019,0.6866372,0.4459488,0.3619466,0.3619466,0.354346,0,1.2
0.7094054,0.1194406,0.103041,0.09111218,0.30452,0.6884851,0.4483805,0.354346,0.3606976,0.3520549,2,1.15
0.7094054,0.1194406,0.103041,0.09111218,0.30452,0.6884851,0.4483805,0.3520549,0.3520549,0.3520549,0,1.15
0.710923,0.1024802,0.1090805,0.09620394,0.3085235,0.6895214,0.449506,0.3520549,0.3552653,0.3523198,1,1.2
0.710923,0.1024802,0.08241221,0.07137146,0.3085235,0.6895214,0.449506,0.3523198,0.3523198,0.3449625,0,1.05
0.7136449,0.1101216,0.09142037,0.08192024,0.2935139,0.6913365,0.4520839,0.3449625,0.3512171,0.3477202,2,1.15
0.7165455,0.1124378,0.1005449,0.09224457,0.3025095,0.6933176,0.4548352,0.3477202,0.3542618,0.353205,2,1.1
0.7165455,0.09241112,0.06985827,0.06764482,0.3025095,0.6933176,0.4548352,0.353205,0.353205,0.342446,0,1.1
0.7192724,0.1002714,0.05269746,0.0544874,0.3129408,0.6951662,0.4573394,0.342446,0.3490009,0.3417393,2,1.1
0.7207457,0.1041371,0.05860403,0.06000021,0.2880817,0.6961862,0.4591755,0.3417393,0.3451456,0.3409901,1,0.9
0.72201,0.08818091,0.06348152,0.06543828,0.2929797,0.6970391,0.4602524,0.3409901,0.344166,0.3413403,1,0.95
0.72201,0.06947917,0.04240304,0.04238723,0.2929797,0.6970391,0.4602524,0.3413403,0.3413403,0.3323644,0,0.9
0.7286967,0.08347452,0.04474136,0.0466634,0.3180014,0.7016127,0.4670309,0.3323644,0.3486387,0.3414602,5,1.15
0.7286967,0.05372765,0.04474136,0.0466634,0.3180014,0.7016127,0.4670309,0.3414602,0.3414602,0.3372106,0,1.1
0.7381487,0.06904919,0.07849262,0.08451751,0.3555578,0.708189,0.4755379,0.3372106,0.3611671,0.358499,7,1.45
0.7395312,0.05535626,0.0837692,0.08968699,0.3607918,0.7091599,0.4772516,0.358499,0.3619216,0.3593638,1,1.45
0.7407266,0.05972238,0.08941886,0.09477963,0.340606,0.7099859,0.4782511,0.3593638,0.3624642,0.35907,1,1.5
0.7434166,0.0705552,0.1010274,0.1048238,0.3479217,0.7118891,0.4802376,0.35907,0.3656959,0.3656959,2,1.45
0.7434166,0.0705552,0.1010274,0.1048238,0.3479217,0.7118891,0.4802376,0.3656959,0.3656959,0.3656959,0,1.4
0.7434166,0.05279355,0.07765681,0.07950962,0.3479217,0.7118891,0.4802376,0.3656959,0.3656959,0.3562036,0,1.35
0.7491878,0.05845286,0.09901496,0.1049631,0.3626991,0.7158666,0.4851334,0.3562036,0.3704851,0.3679025,5,1.6
0.7491878,0.05845286,0.09901496,0.1049631,0.3421963,0.7158666,0.4851334,0.3679025,0.3679025,0.3649735,0,1.5
0.7539996,0.0865961,0.09408648,0.09788876,0.3587903,0.719263,0.4904171,0.3649735,0.379164,0.3715773,4,1.7
0.7553135,0.08402307,0.09839312,0.102906,0.363208,0.7201993,0.4916611,0.3715773,0.3746133,0.373672,1,1.7
0.7564136,0.08374588,0.1031152,0.1078432,0.3653966,0.7209669,0.4926024,0.373672,0.3766665,0.3757262,1,1.75
0.7564136,0.07733562,0.1031152,0.1078432,0.3653966,0.7209669,0.4926024,0.3757262,0.3757262,0.3748105,0,1.65
0.759909,0.08955547,0.1172424,0.1223421,0.3496855,0.7234259,0.4954044,0.3748105,0.383131,0.3796521,3,1.7
0.7635522,0.1060501,0.1321435,0.1363736,0.3461696,0.7260429,0.4988338,0.3796521,0.3898186,0.3870237,3,1.85
0.7635522,0.1060501,0.1321435,0.1363736,0.322172,0.7260429,0.4988338,0.3870237,0.3870237,0.3835955,0,1.75
