Długość platformy,Częstotliwość podwójnego skoku,Rozpiętość pił,Ilość pił,Długość kolców,Częstotliwość pułapek,Długość ślizgania,Entry Rank,Highest Rank,Final Rank,Score
0.6751341,0.1450142,0.12212,0.1281388,0.4560493,0.6244403,0.5021622,0.3670572,0.38345,0.3790084,5
0.6751341,0.1368553,0.1035078,0.1018084,0.4560493,0.6244403,0.5021622,0.3790084,0.3790084,0.3714225,0
0.6864082,0.1571707,0.1336695,0.1310005,0.4807164,0.6334136,0.5089709,0.3714225,0.3901928,0.3901928,6
0.6888303,0.1604363,0.11628,0.1089914,0.4845144,0.6353341,0.5109131,0.3901928,0.3935565,0.3864714,1
0.6896961,0.1344545,0.1206462,0.1138995,0.4865677,0.6360134,0.5117815,0.3864714,0.3896157,0.3847227,1
0.6910511,0.1197692,0.1295521,0.1231348,0.4897941,0.6370271,0.5135087,0.3847227,0.389355,0.3862625,2
0.6917156,0.1234242,0.1333671,0.1277019,0.4915093,0.6375323,0.5143677,0.3862625,0.3885169,0.3885169,1
0.700482,0.1513701,0.1604384,0.1537567,0.4892063,0.6446187,0.5196953,0.3885169,0.4062096,0.4027954,6
0.7014107,0.1395797,0.1401484,0.132705,0.4921257,0.645595,0.5213661,0.4027954,0.4073893,0.3961329,2
0.707671,0.1678645,0.1599119,0.1545134,0.5046105,0.6506663,0.5275926,0.3961329,0.4104043,0.4104043,5
0.7081147,0.1710227,0.1631497,0.1580006,0.5058318,0.6511422,0.528402,0.4104043,0.4122377,0.4122377,1
0.7113462,0.1803112,0.1749003,0.1695828,0.4818562,0.6538959,0.5315185,0.4122377,0.4190556,0.414773,3
0.7141837,0.1669988,0.1638476,0.1517273,0.4891434,0.6566171,0.5347515,0.414773,0.4217293,0.4110385,3
0.7141837,0.1438948,0.136185,0.1241896,0.4891434,0.6566171,0.5347515,0.4110385,0.4110385,0.3998521,0
0.7185531,0.1466341,0.1214799,0.1075057,0.4988396,0.6601248,0.5373314,0.3998521,0.4068594,0.3986383,2
0.7185531,0.1134999,0.1214799,0.1075057,0.4988396,0.6601248,0.5373314,0.3986383,0.3986383,0.3939049,0
0.7185531,0.1134999,0.1214799,0.1075057,0.478462,0.6601248,0.5373314,0.3939049,0.3939049,0.3909938,0
0.7295412,0.1148074,0.1201972,0.1058656,0.5002967,0.6687416,0.5442679,0.3909938,0.4078577,0.3976739,5
0.7315745,0.1185155,0.1254314,0.1108573,0.4802938,0.6704473,0.5452659,0.3976739,0.4010403,0.3974836,1
0.7376918,0.129404,0.1413585,0.1255876,0.4703349,0.675422,0.5497268,0.3974836,0.4074112,0.4042179,3
0.7376918,0.1084324,0.1413585,0.1255876,0.4703349,0.6332619,0.5497268,0.4042179,0.4042179,0.3951991,0
0.7393849,0.1122093,0.1466227,0.1303752,0.4518994,0.6349211,0.5510081,0.3951991,0.3985784,0.395203,1
0.7393849,0.1122093,0.1245402,0.1043037,0.4518994,0.6349211,0.5510081,0.395203,0.395203,0.3883238,0
0.7393849,0.1122093,0.1245402,0.1043037,0.4242492,0.6349211,0.5510081,0.3883238,0.3883238,0.3843738,0
0.75184,0.1036699,0.1531419,0.1338638,0.45332,0.6467556,0.5582555,0.3843738,0.4047776,0.400121,6
0.7533054,0.1074985,0.1578876,0.1385858,0.4406444,0.6481414,0.5594936,0.400121,0.4033934,0.4007938,1
0.7585664,0.1209512,0.1709715,0.1524294,0.4282105,0.653264,0.562698,0.4007938,0.410842,0.4067273,3
0.7616698,0.1094019,0.1505581,0.133732,0.4373569,0.6562081,0.5642912,0.4067273,0.4130629,0.4018883,2
0.7667441,0.1227934,0.1623416,0.1476626,0.4528782,0.6611889,0.5673506,0.4018883,0.4115656,0.4115656,3
0.7682602,0.105612,0.1674681,0.1522028,0.4580824,0.6626591,0.5680338,0.4115656,0.4147318,0.4117598,1
0.773342,0.1191252,0.1813728,0.1656196,0.4490305,0.6674492,0.5711444,0.4117598,0.4213747,0.4181548,3
0.773342,0.1191252,0.1523007,0.1378144,0.4490305,0.6674492,0.5711444,0.4181548,0.4181548,0.4100295,0
0.782451,0.1492511,0.1796003,0.1653114,0.4538314,0.6761831,0.5775495,0.4100295,0.4296004,0.4263111,6
0.782451,0.1492511,0.1796003,0.1653114,0.4326338,0.6761831,0.5775495,0.4263111,0.4263111,0.4232829,0
0.782451,0.1271592,0.146839,0.1376265,0.4326338,0.6761831,0.5775495,0.4232829,0.4232829,0.4114917,0
0.7947372,0.1514217,0.1796497,0.1696315,0.4446057,0.6879615,0.5852965,0.4114917,0.4339331,0.4304719,7
0.7533574,0.1323414,0.1843081,0.1740189,0.4494717,0.689928,0.5397114,0.4304719,0.433691,0.417591,1
0.7557643,0.1407878,0.1594128,0.1498257,0.4538552,0.6919021,0.541081,0.417591,0.421469,0.4132327,1
0.757214,0.1442214,0.1626741,0.154368,0.4592665,0.6930485,0.5422406,0.4132327,0.4161476,0.4161476,1
0.7640363,0.1626199,0.1553627,0.1439713,0.4818437,0.6985473,0.5467761,0.4161476,0.4296277,0.4218796,4
0.7640363,0.1626199,0.1553627,0.1439713,0.4549524,0.6985473,0.5467761,0.4218796,0.4218796,0.418038,0
0.7640363,0.1626199,0.1553627,0.1439713,0.4301071,0.6985473,0.5467761,0.418038,0.418038,0.4144887,0
0.7663997,0.1658306,0.1600182,0.148662,0.4162528,0.7004959,0.5479091,0.4144887,0.4179289,0.4150812,1
0.7663997,0.1427935,0.1600182,0.148662,0.4162528,0.7004959,0.5479091,0.4150812,0.4150812,0.4117902,0
